ID,LAT,LON,HEIGHT,HEIGHT_WRT_DEM,SIGMA_HEIGHT,VEL,SIGMA_VEL,SEASONAL,CUMUL_DISP_,COHER,SVET,LVET,IN,FIN,STDEV,20190128,20190209,20190221,20190305,20190317,20190410,20190422,20190504,20190516,20190528,20190609,20190621,20190703,20190715,20190727,20190808,20190820,20190901,20190913,20190925,20191007,20191019,20191031,20191124,20191206,20191218,20191230,20200111,20200123,20200204,20200216,20200311,20200323,20200404,20200416,20200428,20200510,20200522,20200603,20200615,20200627,20200709,20200721,20200802,20200814,20200826,20200907,20200919,20201001,20201013,20201025,20201106,20201118,20201130,20201212,20201224,20210105,20210117,20210129,20210210,20210222,20210306,20210318,20210330,20210411,20210423,20190128_1,20190209_1,20190221_1,20190305_1,20190317_1,20190410_1,20190422_1,20190504_1,20190516_1,20190528_1,20190609_1,20190621_1,20190703_1,20190715_1,20190727_1,20190808_1,20190820_1,20190901_1,20190913_1,20190925_1,20191007_1,20191019_1,20191031_1,20191124_1,20191206_1,20191218_1,20191230_1,20200111_1,20200123_1,20200204_1,20200216_1,20200311_1,20200323_1,20200404_1,20200416_1,20200428_1,20200510_1,20200522_1,20200603_1,20200615_1,20200627_1,20200709_1,20200721_1,20200802_1,20200814_1,20200826_1,20200907_1,20200919_1,20201001_1,20201013_1,20201025_1,20201106_1,20201118_1,20201130_1,20201212_1,20201224_1,20210105_1,20210117_1,20210129_1,20210210_1,20210222_1,20210306_1,20210318_1,20210330_1,20210411_1,20210423_1
1,29.700529,-95.347826,18.1,0.0,0.0,0,0,0,-4.48,0.57,16,1,1,66,4.75,0,-1.51,-12.88,-20.17,-32.11,-24.05,-22.01,-29.62,-35.46,-24.32,-37.9,-47.04,-55.38,-43.48,-56.62,-61.05,-68.08,-69.18,-75.25,-75.55,-69.92,-71.05,-82.42,-67.85,-82.05,-73.12,-62.31,-71.87,-68.59,-75.51,-80.86,-79.41,-79.28,-77.72,-82.5,-81.64,-83.06,-80.38,-85.4,-81.1,-75.34,-71.07,-66.84,-73.29,-86.09,-95.75,-85.85,-75.89,-73.2,-65.72,-68.23,-70.88,-71.73,-69.31,-62.38,-50.74,-37.39,-33.91,-31.66,-22.0,-18.96,-20.3,-20.17,-11.94,-13.16,-5.06,0,-3.85,-8.2,-13.44,-17.23,-19.98,-22.96,-21.69,-24.33,-29.14,-34.59,-36.16,-42.43,-46.9,-51.62,-54.21,-60.64,-64.67,-65.88,-66.5,-69.01,-72.98,-74.21,-75.5,-73.65,-71.65,-65.95,-64.48,-66.41,-70.05,-70.2,-72.32,-74.08,-73.54,-74.33,-75.6,-77.56,-77.05,-75.67,-73.32,-70.56,-67.77,-68.63,-73.29,-75.98,-78.08,-77.98,-73.9,-68.39,-65.5,-64.67,-64.04,-63.39,-59.7,-53.15,-45.42,-38.18,-30.05,-23.56,-19.8,-17.44,-13.09,-11.3,-8.77,-7.3,-4.48
2,29.700597,-95.347422,17.87,0.0,0.0,0,0,0,-25.27,0.54,25,1,1,66,4.79,0,0.21,-10.7,-20.81,-28.97,-16.84,-18.36,-24.22,-30.46,-20.6,-28.93,-43.0,-50.86,-42.69,-53.58,-57.74,-70.34,-64.22,-51.62,-49.13,-40.9,-45.12,-36.45,-37.95,-49.17,-41.61,-30.09,-40.86,-41.57,-47.21,-52.53,-48.86,-51.74,-56.21,-54.35,-56.04,-53.84,-48.02,-53.0,-50.13,-46.27,-40.66,-38.62,-42.76,-32.59,-40.34,-33.92,-43.36,-39.69,-34.48,-38.69,-41.23,-39.61,-35.84,-27.61,-31.47,-34.76,-31.48,-29.31,-45.6,-47.36,-45.08,-42.22,-32.36,-34.66,-21.6,0,-4.33,-8.22,-12.02,-15.42,-17.53,-19.38,-18.0,-20.28,-25.01,-30.65,-33.05,-39.46,-45.05,-51.04,-53.54,-55.4,-54.76,-50.83,-45.81,-40.12,-37.28,-37.23,-38.02,-34.91,-35.9,-36.33,-35.77,-38.33,-42.31,-42.6,-45.82,-47.6,-47.61,-48.67,-49.53,-49.32,-48.24,-46.17,-43.58,-41.64,-39.23,-35.59,-34.98,-33.37,-34.61,-33.91,-34.28,-33.94,-35.51,-34.75,-34.14,-32.78,-31.14,-30.0,-28.2,-27.19,-30.73,-33.78,-35.5,-38.03,-38.24,-36.03,-31.12,-28.73,-25.27
3,29.700695,-95.346841,17.36,0.0,0.0,0,0,0,7.07,0.39,38,1,1,66,6.14,0,6.6,20.52,6.28,13.09,4.86,1.48,-6.51,-6.57,-3.92,-9.58,-20.6,-7.94,-25.04,-1.17,15.36,3.58,5.54,-4.66,1.83,7.58,7.85,2.89,15.1,-1.98,7.42,15.61,-3.27,8.59,31.33,18.43,21.7,7.81,5.02,4.94,-5.35,-3.46,2.49,-6.27,-15.73,-11.0,-12.27,-9.84,-13.17,-10.33,-19.85,-6.11,-23.2,-17.36,-7.71,-9.82,-14.27,-5.97,-16.61,-12.93,-18.31,-9.77,-5.75,-4.86,5.46,5.75,1.85,6.82,12.64,0.95,12.28,0,1.64,4.69,5.17,3.42,1.04,-6.51,-5.56,-8.61,-10.63,-11.66,-11.12,-8.35,-16.55,-3.59,0.08,-2.49,-1.41,0.36,2.08,1.15,4.2,4.62,2.94,6.81,16.13,6.78,4.96,11.42,16.64,8.19,4.88,4.62,-0.6,-0.93,-1.88,-5.11,-8.18,-11.29,-15.4,-13.87,-15.1,-13.81,-15.58,-13.34,-16.72,-20.4,-22.41,-12.89,-17.12,-14.0,-14.0,-15.48,-17.55,-16.33,-16.42,-13.32,-13.71,-10.85,-1.54,1.61,3.43,2.34,3.6,5.37,7.07
4,29.700725,-95.346663,17.12,0.0,0.0,0,0,0,-9.46,0.52,42,1,1,66,5.24,0,-2.73,-13.95,3.52,22.28,13.0,-14.29,3.72,-1.92,8.66,1.29,13.32,24.96,11.42,10.5,23.98,15.57,15.71,9.58,5.49,13.73,9.12,1.27,-7.57,2.67,-14.11,-5.48,-16.14,-36.03,-22.87,-21.35,-20.55,-23.69,-27.3,-25.9,-23.21,-24.85,-22.12,-24.65,-23.51,-44.36,-35.69,-36.32,-43.26,-28.98,-43.15,-34.25,-42.97,-40.62,-32.85,-39.08,-42.69,-42.45,-40.65,-35.74,-28.32,-36.44,-31.92,-32.64,-22.18,-22.63,-22.51,-19.69,-7.63,-11.7,-7.42,0,1.1,-0.86,1.13,11.34,5.84,-5.17,8.06,2.84,2.37,-2.41,9.47,12.59,15.58,15.35,13.56,13.01,11.82,12.39,10.18,6.73,5.65,0.83,4.91,-4.04,-10.92,-10.33,-13.05,-25.57,-22.03,-21.89,-23.0,-24.31,-23.77,-25.29,-25.43,-25.32,-24.54,-23.93,-21.76,-35.24,-41.2,-38.92,-39.34,-37.82,-42.43,-40.77,-39.93,-38.91,-41.22,-41.08,-41.31,-41.34,-41.05,-38.92,-35.51,-34.24,-32.39,-31.93,-25.33,-22.54,-22.29,-20.16,-11.65,-10.42,-9.46
5,29.700740000000003,-95.346575,16.97,0.0,0.0,0,0,0,-5.25,0.53,44,1,1,66,5.14,0,1.52,-4.12,-8.93,-19.63,-12.63,-11.86,-13.46,-23.56,-17.07,-23.6,-9.44,-18.4,-10.44,-15.93,3.8,-2.54,-3.9,-10.5,-12.13,-26.24,-15.19,-20.95,-7.28,-16.48,-14.2,-2.18,-14.47,-32.96,-17.55,-21.95,-20.16,-20.77,-20.05,-21.15,-16.37,-17.13,-10.86,-18.73,-13.88,-8.23,-5.14,-7.68,9.53,-1.42,-2.17,-14.88,-5.35,-6.16,-4.35,-5.02,-11.64,-10.86,-12.68,-0.92,3.07,-9.16,-3.67,-0.68,-17.64,-14.95,-15.52,-19.46,-3.57,-6.58,-16.27,0,-2.22,-0.89,-10.33,-10.38,-11.83,-14.09,-13.78,-16.76,-18.16,-20.34,-15.46,-13.87,-14.02,-17.16,-4.34,-4.52,-5.11,-5.38,-11.6,-15.21,-15.35,-16.99,-14.43,-14.05,-11.58,-11.79,-11.93,-23.57,-18.96,-18.8,-18.14,-19.63,-17.39,-16.67,-16.56,-16.81,-14.56,-13.0,-8.73,-7.18,-8.01,-4.26,-3.0,-3.31,-2.39,-3.6,-4.37,-5.17,-5.25,-6.54,-8.33,-8.42,-10.44,-8.95,-2.45,-0.89,-1.27,-8.75,-12.18,-15.56,-15.2,-11.48,-13.83,-3.05,-5.25
6,29.701357,-95.342907,211.52,194.95,1.21,0,0,0,94.01,0.52,50,1,1,66,4.88,0,6.7,14.58,-0.04,3.12,15.17,14.76,14.61,8.88,9.59,20.61,5.07,21.29,22.08,24.31,30.61,23.79,30.08,32.58,28.48,35.24,25.74,27.93,16.63,27.49,24.81,17.52,30.5,18.74,28.7,18.02,6.18,13.53,12.9,25.11,33.22,30.38,36.22,46.69,49.34,50.42,64.91,60.04,74.62,64.67,68.87,64.55,66.63,78.16,77.62,85.38,78.7,82.48,84.04,91.25,94.61,92.93,81.52,90.46,101.4,110.65,101.38,113.48,103.91,100.13,96.97,0,-1.79,-1.89,0.72,2.64,3.24,5.11,6.11,7.33,5.59,6.62,9.3,12.44,14.6,17.83,19.76,21.78,22.37,23.86,24.22,23.93,20.84,20.71,17.98,16.43,16.83,17.56,17.96,16.23,13.74,9.51,8.05,6.98,10.71,15.49,21.13,27.46,32.54,36.1,42.96,47.78,53.73,56.94,60.05,60.24,61.27,62.06,64.66,67.96,70.69,73.86,74.89,77.59,79.64,82.33,82.31,83.3,85.38,88.72,90.76,96.77,99.86,99.63,96.64,97.01,94.01
7,29.70095,-95.345325,70.37,53.85,1.27,0,0,0,36.09,0.52,51,1,1,66,5.15,0,1.75,-10.56,6.98,-8.12,-16.0,-6.46,7.34,-6.17,8.45,-2.41,10.15,-0.82,7.63,9.83,7.19,20.16,6.84,8.61,13.92,21.7,14.03,13.74,10.48,2.55,-11.25,-5.27,1.8,10.2,5.69,7.88,6.4,7.24,6.51,8.58,12.3,3.24,1.61,-1.28,2.2,6.72,6.73,8.79,14.88,7.18,3.26,-0.72,4.84,1.31,-6.6,-12.76,-10.0,-9.06,4.77,12.01,19.26,16.75,25.11,21.34,31.64,33.77,31.33,30.58,41.68,43.91,39.28,0,0.16,-2.42,-6.04,-7.37,-8.74,-5.75,-2.72,0.13,-1.9,-3.84,-6.59,-6.12,-4.04,2.99,4.7,4.82,5.39,8.85,7.6,9.12,9.59,7.38,0.15,-3.61,-6.11,-5.86,-5.08,-1.62,0.49,2.67,1.64,1.86,3.44,2.75,0.8,-1.18,-2.23,-3.22,-2.57,-1.08,2.52,3.65,2.38,1.16,0.07,-2.55,-5.3,-8.5,-10.46,-13.24,-12.7,-9.0,-2.4,2.8,9.8,12.82,16.8,19.84,23.1,23.81,28.28,30.76,31.61,33.04,36.09
8,29.700808000000002,-95.346176,16.42,0.0,0.0,0,0,0,-0.24,0.52,53,1,1,66,5.36,0,-0.88,-10.57,10.13,-0.66,11.05,8.82,0.22,-4.98,8.61,-1.36,7.77,-2.91,7.95,2.15,2.17,-6.39,-11.34,6.43,4.14,13.98,9.05,1.4,19.42,6.23,11.0,22.93,10.49,11.29,8.42,5.22,5.54,2.68,1.13,-0.21,-0.2,1.34,2.24,1.11,1.22,-7.66,-14.38,-10.97,-20.89,-10.28,-17.36,-11.48,-18.21,-12.35,-8.58,-10.57,-15.26,-14.75,-12.82,-14.34,-24.26,-6.92,-1.54,-2.97,8.95,7.8,6.91,10.3,-1.26,5.42,-8.76,0,5.27,3.0,8.4,10.78,7.56,3.8,8.32,2.46,2.48,-0.99,6.79,3.72,5.16,1.47,4.12,3.09,3.71,17.56,10.68,6.56,5.85,9.52,8.49,2.15,12.78,11.34,12.13,9.92,8.9,9.17,6.58,4.03,3.39,1.98,1.8,1.34,1.87,0.67,1.37,-3.62,-9.09,-10.31,-14.05,-12.46,-15.16,-12.96,-12.72,-11.12,-12.21,-11.6,-11.9,-12.96,-14.64,-12.74,-10.24,-3.58,-0.65,-3.71,6.77,9.52,8.56,7.61,7.64,7.04,-0.24
9,29.700815000000002,-95.346132,16.37,0.0,0.0,0,0,0,24.68,0.49,54,1,1,66,5.17,0,-4.69,-6.43,-19.86,-30.18,-40.41,-41.92,-27.25,-32.17,-19.77,-30.18,-15.56,-27.49,-16.08,-25.29,-29.7,-39.58,-35.71,-44.39,-46.33,-37.12,-42.02,-29.66,-38.43,-50.25,-59.05,-57.74,-44.16,-45.68,-41.64,-49.52,-48.1,-49.18,-49.83,-52.01,-50.59,-50.29,-47.28,-56.3,-51.05,-43.5,-41.31,-36.32,-41.52,-29.23,-39.61,-27.25,-39.39,-37.91,-33.49,-34.92,-41.24,-37.36,-33.94,-30.65,-17.12,-4.38,-0.45,-1.44,8.5,14.22,7.23,15.62,28.02,20.5,12.07,0,-4.04,-8.19,-16.7,-23.83,-27.4,-29.78,-27.99,-25.81,-25.89,-26.25,-22.99,-23.9,-23.64,-23.42,-24.89,-30.63,-35.08,-36.0,-36.51,-35.16,-33.87,-34.59,-39.62,-42.66,-45.68,-46.83,-44.94,-43.41,-41.71,-41.22,-42.34,-44.77,-44.29,-44.79,-45.63,-47.35,-46.92,-45.39,-43.64,-41.39,-38.07,-33.57,-33.37,-30.3,-31.2,-30.39,-31.24,-30.29,-33.2,-32.79,-32.15,-31.6,-27.84,-20.62,-13.07,-6.86,1.02,7.42,10.09,12.92,19.21,21.64,20.96,23.24,24.68
10,29.700903999999998,-95.345606,15.33,0.0,0.0,0,0,0,14.17,0.48,66,1,1,66,5.64,0,3.01,-10.09,9.21,-3.45,8.59,10.37,5.03,-0.24,8.94,-2.03,-12.95,1.79,-14.01,3.14,-3.75,-5.72,-8.18,-10.92,-13.53,-8.92,-15.05,-22.31,-9.68,-21.05,-16.42,-30.97,-14.89,-28.94,-19.78,-23.4,-19.41,-22.74,-13.83,-25.78,-24.45,-23.96,-11.25,-24.08,-23.01,-15.51,-13.93,-7.29,-16.5,-3.91,-12.71,0.07,-13.81,-8.56,-4.35,-3.64,-7.61,-12.04,-9.26,-1.99,8.26,-8.81,-0.85,28.75,11.1,12.63,10.48,16.14,15.42,12.99,26.06,0,3.07,0.22,3.8,7.63,4.63,1.77,4.41,2.19,-0.46,-3.18,-14.8,-4.19,-5.3,-4.49,-8.85,-8.72,-11.17,-11.55,-13.68,-16.16,-15.52,-18.71,-19.99,-22.4,-17.49,-23.76,-22.14,-27.13,-24.08,-25.87,-20.83,-25.46,-23.2,-27.67,-26.51,-28.43,-27.08,-26.11,-18.87,-21.48,-18.0,-14.49,-14.53,-8.82,-15.48,-10.89,-10.99,-8.05,-10.01,-9.86,-10.21,-9.92,-12.38,-13.31,-8.01,-3.31,3.81,13.9,7.03,10.2,10.79,11.22,11.99,13.49,14.17
